accx,accy,accz
-0.0361,0.2718,0.8498
-0.0478,0.285,0.8376
-0.0537,0.2977,0.8288
-0.0551,0.2972,0.8288
-0.0576,0.3065,0.8318
-0.061,0.3143,0.8366
-0.0595,0.3172,0.8518
-0.0639,0.3221,0.8601
-0.061,0.3182,0.8737
-0.0644,0.3202,0.888
-0.0644,0.3148,0.8899
-0.062,0.3094,0.8987
-0.0551,0.2967,0.8929
-0.0478,0.2909,0.9026
-0.0473,0.2904,0.9021
-0.0429,0.2938,0.8992
-0.0429,0.2899,0.9148
-0.0419,0.2943,0.9256
-0.0439,0.2967,0.9348
-0.0493,0.2972,0.949
-0.0561,0.3006,0.9563
-0.0581,0.3021,0.9554
-0.0688,0.3065,0.9412
-0.0722,0.3128,0.9378
-0.0859,0.3192,0.9222
-0.0834,0.3304,0.9182
-0.0859,0.3377,0.9085
-0.0986,0.35,0.8875
-0.0991,0.3578,0.8826
-0.0942,0.371,0.8674
-0.0986,0.3754,0.8606
-0.0947,0.3866,0.8547
-0.0947,0.3861,0.8459
-0.0952,0.3881,0.8405
-0.0961,0.3861,0.8425
-0.0957,0.3866,0.841
-0.0898,0.3774,0.8444
-0.0747,0.3705,0.8518
-0.0717,0.3637,0.8537
-0.0561,0.35,0.863
-0.0527,0.3397,0.8713
-0.0439,0.3358,0.8894
-0.0366,0.3309,0.8968
-0.0185,0.3202,0.9197
-0.0131,0.3153,0.9427
-0.0102,0.3084,0.951
-0.0019,0.3031,0.9681
-0.0053,0.2967,0.9759
-0.0102,0.2933,0.9857
-0.0131,0.2904,0.9984
-0.0141,0.2933,1.0101
-0.0156,0.2943,1.0179
-0.0112,0.3001,1.0135
-0.0121,0.2997,1.0209
-0.0195,0.2987,1.016
-0.0195,0.3021,1.0116
-0.0175,0.3045,1.0106
-0.017,0.3084,1.0077
-0.0097,0.3207,1.0033
-0.0073,0.327,1.0062
-0.0087,0.327,1.0038
-0.0117,0.3309,0.9984
-0.0209,0.3285,0.9935
-0.0297,0.3265,0.9852
-0.0419,0.3265,0.9813
-0.0522,0.3358,0.9969
-0.0541,0.3343,1.0047
-0.0527,0.3324,1.0174
-0.0595,0.3285,1.0458
-0.0668,0.3294,1.0629
-0.0664,0.3138,1.0917
-0.0698,0.308,1.1142
-0.0712,0.3045,1.1318
-0.0722,0.2899,1.1611
-0.0654,0.284,1.1796
-0.0624,0.2796,1.1987
-0.0532,0.2645,1.2251
-0.0497,0.2621,1.2422
-0.041,0.2537,1.2515
-0.0366,0.2464,1.2622
-0.0341,0.2371,1.2666
-0.017,0.2322,1.2632
-0.0185,0.2317,1.2544
-0.017,0.2302,1.2578
-0.0117,0.2351,1.2437
-0.0078,0.2411,1.2197
-0.0058,0.2351,1.2124
-0.0034,0.2396,1.1772
-0.0014,0.2415,1.1733
0.0001,0.2445,1.1489
0.0035,0.2396,1.1318
0.0016,0.2401,1.1244
0.0079,0.2415,1.121
0.0172,0.2385,1.1088
0.0241,0.2406,1.1088
0.0284,0.2361,1.1127
0.0382,0.2401,1.1191
0.0446,0.2381,1.1308
0.0455,0.2391,1.1327
0.0548,0.2327,1.141
0.0509,0.2298,1.145
0.048,0.2278,1.1503
0.0504,0.2244,1.1552
0.045,0.22,1.1616
0.0397,0.2122,1.163
0.0382,0.2112,1.1655
0.0348,0.2009,1.1669
0.0314,0.199,1.1655
0.0265,0.1848,1.1562
0.025,0.1785,1.1572
0.0187,0.1707,1.1479
0.0157,0.1629,1.1469
0.0143,0.156,1.1352
0.0074,0.1536,1.1303
0.0109,0.1497,1.121
0.0074,0.1355,1.1191
0.0109,0.1306,1.1074
0.0133,0.1276,1.0971
0.0197,0.1242,1.0927
0.0241,0.1193,1.0834
0.026,0.1213,1.0765
0.0319,0.1154,1.0604
0.0436,0.1228,1.0487
0.0455,0.1267,1.0282
0.0519,0.1404,1.0121
0.0534,0.1463,1.0028
0.0504,0.1531,0.992
0.0534,0.1638,0.9637
0.0494,0.1716,0.9534
0.0421,0.176,0.928
0.0397,0.1809,0.9163
0.0284,0.1848,0.9016
0.026,0.1966,0.8821
0.0153,0.2,0.8684
0.0114,0.2029,0.8635
0.0026,0.2029,0.8508
-0.0092,0.2083,0.8537
-0.0126,0.2034,0.8547
-0.018,0.2,0.8723
-0.0204,0.1946,0.8929
-0.0185,0.1897,0.908
-0.0204,0.1721,0.9451
-0.0151,0.1668,0.9554
-0.0117,0.1453,0.9891
-0.0024,0.1336,1.0023
0.005,0.1193,1.0204
0.0089,0.1145,1.0209
0.0133,0.1096,1.0243
0.0226,0.1013,1.0194
0.0338,0.091,1.0174
0.0387,0.0827,1.0072
0.0553,0.0783,0.9945
0.0602,0.0759,0.9793
0.0753,0.0754,0.9451
0.0797,0.0754,0.9353
0.0812,0.0798,0.9217
0.0846,0.0817,0.9139
0.0841,0.0866,0.8914
0.0792,0.1013,0.8748
0.0812,0.1081,0.8737
0.0827,0.1135,0.8723
0.0773,0.1198,0.8743
0.0704,0.1271,0.8802
0.0739,0.1281,0.8826
0.069,0.1345,0.8792
0.0646,0.1399,0.8806
0.0665,0.1482,0.8758
0.0719,0.1526,0.8743
0.0783,0.1682,0.8532
0.0792,0.1775,0.842
0.0787,0.1853,0.8298
0.0866,0.1902,0.82
0.0822,0.2019,0.8117
0.0846,0.2146,0.8191
0.0783,0.2185,0.822
0.0704,0.2263,0.8391
0.068,0.2298,0.843
0.0582,0.2346,0.8493
0.0548,0.2376,0.8562
0.0411,0.2356,0.865
0.0294,0.2346,0.8743
0.0221,0.2351,0.8767
0.0114,0.2356,0.8909
0.007,0.2346,0.8972
0.0035,0.2366,0.9041
0.0011,0.2366,0.9075
0.0035,0.242,0.9148
0.0055,0.2425,0.9222
0.0104,0.242,0.9305
0.0114,0.2469,0.9368
0.0138,0.2484,0.9348
0.0167,0.2503,0.9334
0.0294,0.245,0.9319
0.0309,0.2464,0.9231
0.0499,0.2454,0.9075
0.0577,0.2484,0.8977
0.0734,0.244,0.8787
0.0822,0.2469,0.8669
0.089,0.2435,0.8503
0.0983,0.2435,0.8401
0.1061,0.2494,0.822
0.1154,0.2498,0.8147
0.1149,0.2518,0.8078
0.1174,0.2503,0.8049
0.1051,0.2567,0.8
0.1051,0.2557,0.8059
0.1007,0.2542,0.8054
0.0812,0.263,0.8117
0.0734,0.2601,0.8181
0.0626,0.2621,0.8318
0.048,0.2679,0.8454
0.0363,0.2708,0.863
0.0319,0.2708,0.8782
0.0245,0.2728,0.8816
0.0211,0.2752,0.8865
0.0197,0.2704,0.8831
0.0148,0.2733,0.886
0.0162,0.2699,0.8797
0.0192,0.2713,0.8787
0.0197,0.2738,0.8703
0.028,0.2757,0.8601
0.0319,0.2772,0.8557
0.0392,0.2811,0.843
0.0514,0.2845,0.8366
0.0543,0.2884,0.8376
0.0704,0.2899,0.8347
0.0719,0.2909,0.8347
0.0778,0.2879,0.8381
0.0885,0.2845,0.8454
0.0949,0.2821,0.8532
0.0993,0.2762,0.8571
0.0973,0.2728,0.864
0.0949,0.2708,0.8654
0.0983,0.2684,0.8694
0.0997,0.2645,0.8821
0.0944,0.2635,0.8841
0.087,0.2611,0.8889
0.0797,0.2591,0.8968
0.067,0.2655,0.908
0.0617,0.2616,0.9119
0.0568,0.2655,0.9119
0.0534,0.2694,0.9217
0.0455,0.2733,0.929
0.0338,0.2699,0.9324
0.0314,0.2787,0.9348
0.0367,0.2777,0.9348
0.0367,0.2845,0.9314
0.0372,0.2884,0.9373
0.0411,0.2855,0.9417
0.0421,0.2879,0.9461
0.0499,0.2894,0.9495
0.0455,0.2879,0.951
0.0494,0.2845,0.9485
0.0534,0.2821,0.9412
0.0626,0.2772,0.93
0.0704,0.2796,0.9207
0.0783,0.2791,0.9124
0.0846,0.2791,0.9065
0.0851,0.2801,0.9051
0.0924,0.2782,0.8968
0.087,0.2791,0.888
0.0885,0.2816,0.8811
0.0841,0.2855,0.8723
0.0763,0.283,0.8758
0.0631,0.2874,0.8806
0.0646,0.2889,0.888
0.0577,0.2943,0.8929
0.0538,0.2894,0.8972
0.0504,0.3001,0.906
0.045,0.3011,0.908
0.0382,0.307,0.9143
